Date,Country Code,Country,Continent,WHO Region,New Cases,Cumulative Cases,New Deaths,Cumulative Deaths,Latitude,Longitude
2022-09-04,AU,Australia,Oceania,WPRO,79985.0,9697223,240.0,15071,-25.274398,133.775136
2022-09-11,AU,Australia,Oceania,WPRO,63392.0,9760615,214.0,15285,-25.274398,133.775136
2022-09-18,AU,Australia,Oceania,WPRO,51273.0,9811888,184.0,15469,-25.274398,133.775136
2022-09-25,AU,Australia,Oceania,WPRO,43401.0,9855289,147.0,15616,-25.274398,133.775136
2022-10-02,AU,Australia,Oceania,WPRO,37578.0,9892867,113.0,15729,-25.274398,133.775136
2022-10-09,AU,Australia,Oceania,WPRO,38674.0,9931541,102.0,15831,-25.274398,133.775136
2022-10-16,AU,Australia,Oceania,WPRO,31327.0,9962868,74.0,15905,-25.274398,133.775136
2022-10-23,AU,Australia,Oceania,WPRO,29620.0,9992488,103.0,16008,-25.274398,133.775136
2022-10-30,AU,Australia,Oceania,WPRO,30363.0,10022851,85.0,16093,-25.274398,133.775136
2022-11-06,AU,Australia,Oceania,WPRO,35763.0,10058614,111.0,16204,-25.274398,133.775136
2022-11-13,AU,Australia,Oceania,WPRO,52310.0,10110924,116.0,16320,-25.274398,133.775136
2022-11-20,AU,Australia,Oceania,WPRO,73573.0,10184497,154.0,16474,-25.274398,133.775136
2022-11-27,AU,Australia,Oceania,WPRO,83407.0,10267904,178.0,16652,-25.274398,133.775136
2022-12-04,AU,Australia,Oceania,WPRO,97897.0,10365801,259.0,16911,-25.274398,133.775136
2022-12-11,AU,Australia,Oceania,WPRO,107902.0,10473703,272.0,17183,-25.274398,133.775136
2022-12-18,AU,Australia,Oceania,WPRO,112016.0,10585719,299.0,17482,-25.274398,133.775136
2022-12-25,AU,Australia,Oceania,WPRO,108322.0,10694041,334.0,17816,-25.274398,133.775136
2023-01-01,AU,Australia,Oceania,WPRO,91518.0,10785559,1094.0,18910,-25.274398,133.775136
2023-02-05,AU,Australia,Oceania,WPRO,18922.0,10990423,1161.0,20071,-25.274398,133.775136
2023-02-12,AU,Australia,Oceania,WPRO,17067.0,11007490,96.0,20167,-25.274398,133.775136
2023-02-19,AU,Australia,Oceania,WPRO,17927.0,11025417,89.0,20256,-25.274398,133.775136
2023-02-26,AU,Australia,Oceania,WPRO,17814.0,11043231,90.0,20346,-25.274398,133.775136
2023-03-05,AU,Australia,Oceania,WPRO,18262.0,11061493,78.0,20424,-25.274398,133.775136
2023-03-12,AU,Australia,Oceania,WPRO,19780.0,11081273,78.0,20502,-25.274398,133.775136
2023-03-19,AU,Australia,Oceania,WPRO,21681.0,11102954,88.0,20590,-25.274398,133.775136
2023-03-26,AU,Australia,Oceania,WPRO,23014.0,11125968,93.0,20683,-25.274398,133.775136
2023-04-02,AU,Australia,Oceania,WPRO,25521.0,11151489,103.0,20786,-25.274398,133.775136
2023-04-09,AU,Australia,Oceania,WPRO,27650.0,11179139,123.0,20909,-25.274398,133.775136
2023-04-16,AU,Australia,Oceania,WPRO,27055.0,11206194,131.0,21040,-25.274398,133.775136
2023-04-23,AU,Australia,Oceania,WPRO,29966.0,11236160,146.0,21186,-25.274398,133.775136
2023-04-30,AU,Australia,Oceania,WPRO,29431.0,11265591,155.0,21341,-25.274398,133.775136
